상품번호,합포량,채널
653f54e0b377ea3a23513786,3,
653f54812e65e238e3b30c1c,3,
653f55266e9e69f2e74e3e37,3,
653f5687900bd3c45251c3aa,2,
653f57d3c4cb3fa2a4b61af1,2,
653f58129ae3fef927917799,2,
653f574d8da35b7f2c5643a0,2,
653f5625490e9435d83a9be5,2,
653f56e074aa3a30f1aab23f,2,
653f5571f6753c07d1395c35,2,
653f57946e9e69f2e74e3e74,2,
653f55bb6fc8ee57c1824ef6,2,
249716,2,
46935,0.5,
2995567378,0.25,
2995560276,0.25,
405532,0.25,
520191,0.25,
24908453450,3,
24908453454,3,
24908453458,3,
24908453462,2,
24908453466,2,
24908453470,2,
24908453474,2,
24908453478,2,
24908453482,2,
656811e12fc67d02d342e290,3,
6665413040,0.25,
6665438129,0.2,
3225450697,0.75,
3225450811,0.2,
3225450710,0.4,
3225450693,0.6,
3225450683,0.25,
3225450662,0.4,
3225450572,0.5,
3225450559,0.2,
3225450574,0.2,
3225450570,0.6,
3225450568,0.6,
3225450564,0.4,
3225450549,0.4,
3225450556,0.75,
3225450554,0.2,
3225450551,0.5,
3225450552,0.25,
659772b568b6c6a59fd113b9,0.25,
659772f076eff97127eb0021,0.2,
6597738b656a29c60ac3b2a4,0.2,
6597742c1d8adf7feff6e256,0.3333333333333333,
6597749d780d0ba1418e41e2,0.3333333333333333,
6597752ca0b1f1dd488571ae,0.125,
659775d2c8ad491dd9c48698,0.3333333333333333,
65977661039cba425791b818,0.25,
659776d2aeb7a95afe0a42dc,0.16666666666666666,
659777581d8adf7feff6e2a4,0.2,
65977a22789b65d20b3b29c4,0.16666666666666666,
65977a98039cba425791b8c2,0.25,
65977b02039cba425791b8c7,0.25,
65977b83dc1323cf6166e139,0.2,
65977bed0cb5a18b660e0696,0.25,
88305506416,0.3333333333333333,
88305531037,0.25,
88305500315,0.125,
88305539697,0.2,
88305525938,0.16666666666666666,
88305520906,0.2,
88305516426,0.16666666666666666,
88305509700,0.25,
88305430475,0.25,
88305535824,0.25,
88305490855,0.3333333333333333,
88305462011,0.3333333333333333,
88305456485,0.2,
88305405819,0.25,
88305397234,0.25,
88305358385,0.2,
88305381490,0.3333333333333333,
88277800312,0.3333333333333333,
88305435157,0.2,
3254846837,0.6666666666666666,
3254846850,0.4,
3254481918,0.8,
3254481924,0.5,
3254481873,0.16666666666666666,
3254481770,0.6666666666666666,
3254481755,0.3333333333333333,
3254481759,0.2,
3254846847,0.3333333333333333,
3254481961,0.2,
3254482093,0.4,
3254846854,0.2,
3225450822,0.8,
3254481911,0.4,
3254481902,0.6,
3225450674,0.8,
3254846883,0.2,
3254847183,0.6,
3254847090,0.8,
3254847079,0.6666666666666666,
3254847024,0.8,
3254846990,0.4,
3254846974,0.5,
3254846862,0.6,
3254846851,0.3333333333333333,
3225450803,0.6,
3225450786,0.8,
3225450704,0.8,
3254481971,0.8,
3254481870,0.8333333333333334,
3254481758,0.3333333333333333,
3254481757,0.6,
3254481754,0.6666666666666666,
6686151090,0.2,
6686174703,0.16666666666666666,
6686145301,0.2,
6686141830,0.3333333333333333,
659e451473f1da8245e64c66,0.3333333333333333,
659e4578319c258ecefacfe2,0.2,
659e45da0fb57d3ee8b4df0b,0.2,
659e467b319c258ecefad015,0.16666666666666666,
88341431677,0.2,
88341455001,0.16666666666666666,
88341442796,0.2,
88341422792,0.3333333333333333,
3254847518,0.16666666666666666,
88422265812,3,
88421460828,2,
88421460910,2,
88421460950,2,
88421461123,3,
88421461164,2,
88421461195,3,
88421461395,2,
88421461421,2,
88421461451,2,
88421461508,3,
88421461619,3,
88421461584,3,
88421461632,3,
88421461707,2,
88421461806,3,
88421356067,2,
88421356093,2,
88421356116,3,
88421356160,2,
88421356166,2,
88421356169,3,
88421356223,2,
88421356315,2,
88421356335,2,
88421356336,2,
